category,color,word,meaning
Adventure: Juniorès Morning,,Lève-toi Junior! Il est espt heures du matin! Tu es enretard pour aller à l'école!,Get up Junior! It's seven o'clock in the morning! You are late for school!
Adventure: Juniorès Morning,,D'accord Papa. Je me lève maintenant.,"Okay, Dad. I'm getting up now."
Adventure: Juniorès Morning,,"Va dans la salle de bain pour te brosser les dents, s'il te plaît.",Please go to the bathroom to brush your teeth.
Adventure: Juniorès Morning,,"Je vais me brosser les dents maintenant, Papa!","I'm going to brush my teeth now, Dad!"
Adventure: Juniorès Morning,,Qu'est-ce que tu veux pour le petit déjeuner?,What do you want for breakfast?
Adventure: Juniorès Morning,,"Tu peux jouer avec ta grenouille après l'école. S'il te plaît, mange maintenant.",You can play with your frog after school. Please eat now.
Adventure: Juniorès Morning,,"Je veux beaucoup de fruits, s'il te plaît.","I want a lot of fruit, please."
Adventure: Juniorès Morning,,Il y a des fruits dans le frigo.,There are fruits in the fridge.
Adventure: Juniorès Morning,,Nous devons partir dans deux minutes! Prends ton sac à dos!,We have to leave in two minutes! Take your backpack!
Adventure: Juniorès Morning,,"Non merci, je n'ai pas faim.","No thank you, I am not hungry."
Adventure: Juniorès Morning,,Tu as mangé le petit déjeuner! Tes livres sont dans ton sac à dos,You ate breakfast! Your books are in your backpack.
Adventure: Juniorès Morning,,"Ah oui, j'ai besoin de mes livres!","Oh yes, I need my books!"
Adventure: Juniorès Morning,,Allons à l'école!,Let's go to school!
New words - Adventure,,léve-toi,Get up
New words - Adventure,,je me lève,I get up
New words - Adventure,,tabouret,stool
New words - Adventure,,grenouille domestique,pet frog
New words - Adventure,,plante,plant
New words - Adventure,,réfrigérateur,refrigerator
New words - Adventure,,comptoir de cuisine ,"worktop, countertop, work surface"
New words - Adventure,,coucher,to go to bed
New words - Adventure,,jouer,"to play, to act"
New words - Adventure,,partir,to leave
New words - Adventure,,minute,minute
New words - Adventure,,sac à dos,backpack
New words - Adventure,,faim,hunger
New words - Adventure,,besoin,need
