category,color,word,meaning
Roleplay: Socialize on a flight,,Je m'appelle Alice.,My name is Alice.
Roleplay: Socialize on a flight,,"D'où viens-tu, Alice?","Where are you from, Alice?"
Roleplay: Socialize on a flight,,Je viens des États-Unis.,I'm from the United States.
Roleplay: Socialize on a flight,,"Ah, les États-Unis. C'est loin, non?","Ah, the United States. That's far, isn't it?"
Roleplay: Socialize on a flight,,"Oui, c'est loin de la France.","Yes, it is far from France."
Roleplay: Socialize on a flight,,"Oui, c'est très loin. Bon voyage, Alice.","Yes, it's very far. Have a good trip, Alice."
Adventure: Let's Fly!,,Bonjour! Tu vas où?,Hello! Where are you going?
Adventure: Let's Fly!,,Bonjour! Je vais à Paris.,Hello! I am going to Paris.
Adventure: Let's Fly!,,Passeport?,Passport?
Adventure: Let's Fly!,,Oh non... Où est le passeport?,Oh no... Where is the passport?
Adventure: Let's Fly!,,Des valises. Le passeport est ici? Non.,Suitcases. Is the passport here? No.
Adventure: Let's Fly!,,Le passeport est ici.,The passport is here.
Adventure: Let's Fly!,,Merci! Tu as une valise?,Thank you! Do you have a suitcase?
Adventure: Let's Fly!,,Une valise? Non.,A suitcase? No.
Adventure: Let's Fly!,,Le billet d'avion.,The plane ticket.
Adventure: Let's Fly!,,Bon voyage!,Have a good trip!
New words - Adventure,,Une plante. ,A plant.
New words - Adventure,,Des chaises.,Chairs.
New words - Adventure,,Une poubelle.,A dustbin
